"HCP_ID","gender","Age"
16708,"FEMALE",27
45328,"MALE",118
16709,"FEMALE",79
13230,"MALE",27
6459,"MALE",109
16710,"FEMALE",119
16711,"MALE",27
16712,"FEMALE",27
11336,"FEMALE",118
16713,"MALE",107
14601,"MALE",69
14602,"MALE",119
16714,"MALE",100
16715,"MALE",97
45329,"FEMALE",97
14097,"MALE",89
16716,"MALE",89
16717,"MALE",79
16718,"MALE",107
16719,"FEMALE",117
16720,"MALE",27
16721,"MALE",27
16262,"MALE",119
16722,"MALE",118
336,"FEMALE",27
11337,"FEMALE",27
9304,"MALE",120
11338,"FEMALE",108
43896,"MALE",28
16723,"FEMALE",118
16263,"FEMALE",78
16724,"FEMALE",27
11339,"FEMALE",27
16725,"FEMALE",121
16726,"MALE",118
11340,"MALE",108
7106,"FEMALE",108
16727,NA,60
11341,"FEMALE",49
11342,"FEMALE",37
11343,"MALE",118
16728,"FEMALE",37
16729,"MALE",27
16730,"MALE",117
16731,"MALE",119
16732,"FEMALE",118
9029,"FEMALE",87
16733,"FEMALE",90
14603,"MALE",118
11344,"MALE",117
16734,"MALE",117
11345,"FEMALE",117
8009,"MALE",117
16735,"FEMALE",27
16736,"MALE",27
11346,"FEMALE",68
4277,"MALE",58
7800,"FEMALE",47
1018,"FEMALE",108
16737,"FEMALE",70
838,"MALE",40
43897,"FEMALE",29
14604,"MALE",77
16738,"FEMALE",59
7388,"FEMALE",47
16739,"MALE",107
16740,"MALE",117
4963,"FEMALE",97
8594,"FEMALE",37
8601,"MALE",107
5412,"FEMALE",22
893,"MALE",22
16741,"MALE",27
16742,"MALE",27
11347,"FEMALE",37
13499,"MALE",117
16743,"FEMALE",50
16744,"FEMALE",27
11348,"FEMALE",57
16745,"FEMALE",108
14605,"MALE",27
16746,"MALE",87
16747,"FEMALE",68
6581,"FEMALE",37
16748,"FEMALE",33
16749,"MALE",23
13500,"FEMALE",23
16750,"FEMALE",27
16751,"FEMALE",35
16752,"FEMALE",22
16753,"MALE",27
16754,"MALE",27
16755,"MALE",77
5960,"FEMALE",48
16756,"FEMALE",29
14098,"FEMALE",52
16757,"MALE",27
7882,"MALE",27
14099,"FEMALE",119
7129,"MALE",77
4710,"FEMALE",49
16758,"FEMALE",118
16759,"FEMALE",85
16760,"MALE",27
9351,"MALE",27
16761,"FEMALE",47
14606,"FEMALE",27
16762,"FEMALE",74
16763,"MALE",27
5552,"FEMALE",83
2238,"MALE",58
43898,"MALE",84
16764,"FEMALE",97
16765,"MALE",68
16766,"FEMALE",58
46159,"MALE",120
95,"FEMALE",118
16767,"FEMALE",62
16768,"FEMALE",25
9352,"MALE",68
16769,"MALE",79
16770,"MALE",118
16771,"MALE",68
43899,"MALE",120
45330,"FEMALE",30
9353,"FEMALE",88
16772,"FEMALE",119
8750,"MALE",31
16773,"MALE",68
16774,"MALE",88
8790,"MALE",38
16775,"MALE",109
16776,"FEMALE",37
16777,"MALE",118
16778,"MALE",31
9054,"FEMALE",31
6576,"MALE",118
43725,"MALE",70
16779,"MALE",97
16780,"MALE",118
16781,"MALE",88
9354,"MALE",120
87,"FEMALE",60
2322,"MALE",100
16782,"FEMALE",109
16783,"MALE",37
14607,"MALE",58
16784,"FEMALE",50
11349,"MALE",118
16785,"FEMALE",118
2864,"FEMALE",98
1868,"FEMALE",118
16786,"MALE",71
16787,"MALE",34
16788,"MALE",120
14608,"FEMALE",119
16789,"MALE",109
14100,"FEMALE",118
16790,"MALE",68
16791,"FEMALE",108
16792,"MALE",110
16793,"MALE",33
2007,"MALE",108
16794,"MALE",78
46160,"FEMALE",70
16795,"MALE",30
16796,"MALE",109
14609,"MALE",34
16797,"MALE",79
14101,"FEMALE",70
16798,"FEMALE",118
16799,"MALE",121
16800,"MALE",79
43900,"MALE",120
644,"MALE",33
16801,"MALE",109
16802,"MALE",119
16803,"MALE",108
16804,"MALE",69
9355,"MALE",60
9356,"MALE",118
16805,"MALE",33
16806,"FEMALE",99
43901,"MALE",60
16807,"MALE",59
16808,"FEMALE",77
43902,"FEMALE",60
16809,"MALE",110
16810,"MALE",108
16811,"MALE",89
5526,"MALE",68
5486,"MALE",99
4148,"FEMALE",49
16812,"MALE",120
16813,"MALE",79
16814,"MALE",119
16815,"MALE",33
16816,"MALE",102
16817,"MALE",110
16818,"MALE",78
16819,"MALE",59
14610,"MALE",58
8928,"MALE",109
16820,"FEMALE",33
4071,"MALE",80
13501,"MALE",32
3577,"MALE",120
16821,"MALE",89
14611,"FEMALE",118
11350,"FEMALE",88
16822,"FEMALE",100
16823,"MALE",88
9258,"MALE",118
14612,"MALE",119
16824,"FEMALE",37
16825,"MALE",90
16826,"MALE",49
2002,"FEMALE",88
16827,"MALE",24
16828,"FEMALE",32
16829,"MALE",119
5018,"FEMALE",118
16830,"MALE",30
16831,"MALE",89
16832,"MALE",109
16833,"MALE",89
14102,"MALE",79
16834,"MALE",119
45331,"MALE",99
16835,"FEMALE",78
1277,"FEMALE",68
16836,"MALE",118
16837,"MALE",98
16838,"MALE",108
16839,"MALE",60
8082,"MALE",107
16840,"MALE",31
16841,"MALE",27
16842,"MALE",111
16843,"MALE",98
11351,"MALE",89
16844,"MALE",109
16845,"MALE",88
16846,"MALE",110
16847,"FEMALE",108
16848,"FEMALE",119
16849,"FEMALE",89
9357,"MALE",120
16850,"MALE",99
16851,"MALE",99
16852,"FEMALE",118
4157,"MALE",109
16853,"MALE",119
16854,"MALE",68
3383,"MALE",119
16855,"FEMALE",109
16856,"FEMALE",119
16857,"MALE",108
16858,"MALE",89
8146,"MALE",31
16859,"MALE",108
16860,"MALE",118
16861,"FEMALE",117
16862,"MALE",80
16863,"MALE",32
16864,"FEMALE",30
16865,"MALE",118
554,"MALE",121
46161,"MALE",121
16866,"MALE",108
16867,"MALE",33
16868,"MALE",49
11352,"MALE",119
16869,"MALE",109
16870,"MALE",80
16871,"MALE",60
43903,"MALE",109
43904,"FEMALE",38
16872,"MALE",29
16873,"MALE",111
16874,"MALE",119
6498,"MALE",119
16875,"MALE",120
14103,"MALE",109
16876,"MALE",89
16877,"MALE",31
9295,"MALE",121
16878,"MALE",87
16879,"FEMALE",29
16880,"MALE",121
16881,"FEMALE",108
16882,"MALE",119
9358,"MALE",119
9359,"MALE",119
45332,"MALE",50
16883,"MALE",88
16884,"MALE",117
16885,"FEMALE",70
16886,"FEMALE",40
14613,"FEMALE",39
16887,"MALE",59
16888,"MALE",119
9360,"MALE",29
16889,"MALE",110
2443,"MALE",118
279,"MALE",118
16890,"MALE",27
45333,"MALE",29
4475,"MALE",61
16891,"FEMALE",28
13502,"MALE",69
16892,"FEMALE",27
16893,"FEMALE",38
16894,"MALE",68
11353,"FEMALE",32
16895,"MALE",120
16896,"FEMALE",119
16897,"FEMALE",109
5072,"FEMALE",68
45334,"MALE",121
11354,"MALE",71
14614,"FEMALE",119
16898,"MALE",33
16899,"FEMALE",119
14615,"MALE",119
16900,"MALE",81
16901,"FEMALE",59
16902,"MALE",108
16903,"MALE",79
7933,"MALE",69
13231,"MALE",78
43905,"FEMALE",119
16904,"MALE",118
1305,"FEMALE",33
16905,"MALE",79
16906,"MALE",108
16907,"FEMALE",108
11355,"FEMALE",87
16908,"FEMALE",33
1810,"MALE",109
16909,"FEMALE",59
16910,"MALE",119
9361,"MALE",118
16911,"FEMALE",118
16912,"MALE",69
43906,"MALE",111
46162,"MALE",58
16913,"MALE",119
1790,"MALE",110
16914,"MALE",49
16915,"MALE",119
16916,"MALE",78
7059,"MALE",88
16917,"MALE",40
16264,"MALE",119
16918,"MALE",89
6605,"MALE",119
2750,"MALE",120
6418,"MALE",118
9362,"MALE",58
16919,"MALE",119
16920,"FEMALE",108
16921,"MALE",88
16922,"MALE",22
16923,"FEMALE",88
43907,"MALE",118
16924,"MALE",50
16925,"MALE",88
2150,"MALE",119
16926,"MALE",38
5910,"MALE",59
6333,"MALE",34
16927,"MALE",118
9363,"MALE",109
16928,"FEMALE",49
2094,"MALE",70
16929,"MALE",119
14616,"MALE",39
1229,"MALE",100
8768,"MALE",110
5857,"MALE",121
16930,"MALE",108
16931,"MALE",110
11356,"FEMALE",99
16932,"MALE",33
16933,"MALE",80
16934,"MALE",98
16935,"MALE",30
16936,"MALE",109
16937,"FEMALE",69
16938,"MALE",78
16939,"MALE",70
16940,"FEMALE",99
16941,"MALE",80
16942,"MALE",88
16943,"MALE",88
16944,"FEMALE",68
16945,"MALE",69
16946,"MALE",119
16947,"MALE",119
16948,"FEMALE",109
2731,"MALE",80
16949,"FEMALE",28
16950,"MALE",119
16951,"MALE",33
16952,"FEMALE",89
16953,"MALE",30
14617,"MALE",119
16954,"MALE",119
6580,"MALE",28
16955,"MALE",49
16956,"MALE",29
16957,"FEMALE",88
13503,"MALE",108
16958,"FEMALE",99
13504,"MALE",120
14104,"FEMALE",80
3662,"MALE",118
16959,"MALE",88
16960,"MALE",108
16961,"MALE",78
16962,"MALE",118
16265,"MALE",118
962,"MALE",121
16963,"MALE",49
14105,"FEMALE",118
16964,"FEMALE",100
16965,"MALE",118
16966,"MALE",99
6905,"FEMALE",48
3726,"MALE",68
16967,"MALE",118
3939,"MALE",41
1195,"MALE",99
16968,"FEMALE",37
45335,"MALE",88
16969,"FEMALE",83
4581,"MALE",111
16970,"MALE",33
14618,"MALE",27
16971,"MALE",98
14106,"FEMALE",119
14107,"FEMALE",111
16972,"FEMALE",37
1508,"MALE",110
16973,"FEMALE",49
16974,"MALE",29
16975,"MALE",49
16976,"FEMALE",97
16977,"FEMALE",100
16978,"MALE",79
16979,"MALE",110
45336,"FEMALE",119
16980,"MALE",108
16981,"FEMALE",97
16982,"MALE",100
16983,"FEMALE",73
7150,"MALE",27
9364,"MALE",109
16984,"MALE",28
16985,"FEMALE",78
14619,"MALE",59
9365,"MALE",49
8918,"MALE",119
9366,"MALE",59
9367,"MALE",121
16986,"MALE",39
16987,"MALE",97
16988,"MALE",87
43726,"FEMALE",119
16989,"MALE",69
9368,"FEMALE",68
16990,"MALE",119
16991,"MALE",58
16992,"FEMALE",40
43727,"FEMALE",38
16993,"MALE",121
16994,"FEMALE",42
11357,"MALE",119
16995,"MALE",118
16996,"MALE",100
16997,"MALE",118
6631,"MALE",78
16998,"MALE",117
16999,"FEMALE",98
17000,"MALE",49
17001,"FEMALE",113
6863,"MALE",67
273,"FEMALE",109
17002,"MALE",119
13232,"MALE",39
17003,"FEMALE",98
17004,"MALE",120
43908,"MALE",79
17005,"MALE",69
17006,"MALE",89
7778,"MALE",59
17007,"MALE",78
9369,"MALE",118
17008,"MALE",27
45337,"FEMALE",119
13505,"MALE",119
43909,"FEMALE",110
17009,"MALE",49
7258,"FEMALE",108
17010,"MALE",109
5352,"MALE",121
17011,"MALE",78
8977,"MALE",121
17012,"FEMALE",34
17013,"MALE",120
17014,"MALE",118
17015,"FEMALE",99
17016,"MALE",36
191,"MALE",48
17017,"FEMALE",98
17018,"MALE",108
14108,"MALE",119
17019,"FEMALE",60
351,"MALE",109
17020,"MALE",33
43910,"MALE",33
17021,"MALE",70
3633,"MALE",48
14620,"MALE",120
17022,"MALE",89
17023,"MALE",121
2845,"FEMALE",60
17024,"MALE",88
17025,"MALE",109
17026,"MALE",32
3911,"MALE",70
17027,"MALE",27
17028,"MALE",27
2497,"MALE",118
17029,"MALE",118
17030,"MALE",30
43911,"FEMALE",61
17031,"FEMALE",118
13506,"MALE",70
2588,"FEMALE",48
17032,"MALE",33
8076,"FEMALE",28
17033,"MALE",108
17034,"MALE",109
17035,"FEMALE",118
17036,"FEMALE",108
8209,"FEMALE",108
43912,NA,80
17037,"MALE",70
43913,"MALE",90
8002,"MALE",97
43914,"MALE",71
1480,"FEMALE",105
17038,"FEMALE",118
17039,"MALE",120
17040,"FEMALE",78
17041,"FEMALE",68
43915,"FEMALE",32
43916,"FEMALE",107
17042,"MALE",119
17043,"MALE",33
17044,"MALE",109
660,"MALE",120
17045,"MALE",80
17046,"MALE",90
17047,"MALE",72
17048,"MALE",89
45338,"FEMALE",98
8701,"MALE",112
3196,"MALE",109
43917,"MALE",120
17049,"MALE",110
17050,"FEMALE",65
43918,"MALE",58
13507,"MALE",68
17051,"MALE",33
11358,"FEMALE",28
17052,"MALE",120
17053,"MALE",119
17054,"MALE",108
9370,"MALE",79
43919,"FEMALE",99
17055,"MALE",69
14621,"MALE",40
277,"MALE",108
17056,"FEMALE",109
17057,"FEMALE",51
17058,"MALE",120
17059,"MALE",109
17060,"MALE",98
6922,"FEMALE",98
17061,"MALE",100
17062,"MALE",98
17063,"MALE",89
3334,"MALE",109
6872,"FEMALE",118
17064,"MALE",97
5418,"MALE",109
3477,"MALE",80
1079,"FEMALE",69
43920,"MALE",121
11359,"FEMALE",107
6931,"MALE",118
17065,"MALE",118
17066,"MALE",50
17067,"FEMALE",32
17068,"MALE",80
4987,"FEMALE",98
819,"MALE",117
17069,"FEMALE",38
46163,"MALE",27
43921,"MALE",120
17070,"MALE",22
17071,"MALE",109
4247,"MALE",79
17072,"MALE",108
17073,"FEMALE",115
17074,"MALE",27
45339,"MALE",97
43922,"FEMALE",77
8188,"FEMALE",98
17075,"MALE",120
17076,"MALE",119
968,"MALE",88
2397,"MALE",120
17077,"FEMALE",118
11360,"FEMALE",108
43923,"FEMALE",119
2078,"MALE",110
17078,"FEMALE",39
17079,"MALE",118
17080,"MALE",88
14622,"MALE",79
17081,"FEMALE",50
17082,"MALE",39
17083,"MALE",98
17084,"MALE",110
17085,"MALE",79
403,"MALE",40
17086,"MALE",48
17087,"FEMALE",32
46164,"MALE",79
7689,"MALE",118
43924,"FEMALE",118
17088,"MALE",108
17089,"FEMALE",118
43925,"MALE",70
17090,"MALE",110
4772,"FEMALE",108
3535,"MALE",58
45340,"FEMALE",38
587,"MALE",97
17091,"MALE",100
17092,"MALE",120
17093,"MALE",77
17094,"MALE",120
17095,"MALE",109
14623,"MALE",48
17096,"MALE",108
5573,"MALE",61
14109,"FEMALE",110
17097,"FEMALE",119
17098,"MALE",59
7912,"MALE",121
17099,"MALE",118
17100,"MALE",119
43926,"MALE",120
17101,"FEMALE",108
17102,"MALE",40
7681,"MALE",89
17103,"MALE",78
17104,"FEMALE",118
17105,"MALE",80
8139,"MALE",99
17106,"FEMALE",23
17107,"FEMALE",92
14624,"FEMALE",118
43927,"MALE",110
17108,"MALE",117
17109,"MALE",97
43928,"FEMALE",57
631,"MALE",87
43929,"MALE",100
16266,"MALE",111
8105,"MALE",81
5293,"FEMALE",87
45341,"FEMALE",117
17111,"MALE",48
43930,"MALE",109
43931,"FEMALE",87
17112,"MALE",111
43932,"MALE",77
17113,"FEMALE",97
17114,"FEMALE",27
17115,"MALE",68
17116,"MALE",22
3085,"FEMALE",117
11361,"FEMALE",98
17117,"MALE",54
17118,"MALE",97
9371,"MALE",117
17119,"FEMALE",88
9372,"MALE",57
8392,"MALE",68
17120,"MALE",69
17121,"MALE",119
17122,"MALE",99
17123,"MALE",23
6375,"MALE",29
1741,"MALE",121
17124,"FEMALE",22
3727,"FEMALE",105
43933,"FEMALE",65
11362,"MALE",56
17125,"FEMALE",74
17126,"FEMALE",121
17127,"MALE",90
17128,"MALE",120
17129,"MALE",68
43728,"FEMALE",98
1983,"MALE",120
46165,"MALE",78
9373,"MALE",118
14625,"MALE",110
17130,"MALE",109
17131,"MALE",78
17132,"MALE",32
9374,"MALE",59
4328,"MALE",119
17133,"MALE",32
9375,"MALE",119
17134,"MALE",58
8781,"MALE",88
17135,"MALE",78
16267,"MALE",51
43729,"FEMALE",118
17136,"MALE",99
17137,"FEMALE",59
1701,"MALE",39
17138,"MALE",87
5828,"FEMALE",83
17139,"MALE",30
17140,"FEMALE",32
17141,"MALE",119
17142,"MALE",119
9376,"MALE",88
17143,"MALE",90
17144,"MALE",34
17145,"MALE",118
17146,"MALE",58
17147,"FEMALE",119
4604,"MALE",120
441,"MALE",120
45342,"FEMALE",119
9377,"MALE",110
17148,"MALE",119
17149,"FEMALE",29
9378,"MALE",108
13508,"MALE",109
13509,"MALE",78
1012,"MALE",32
4060,"MALE",81
14626,"MALE",50
17150,"MALE",108
17151,"MALE",112
17152,"MALE",109
17153,"MALE",119
45343,"MALE",118
7194,"MALE",30
3859,"FEMALE",109
11363,"FEMALE",118
8126,"MALE",49
17154,"MALE",31
17155,"MALE",29
13510,"MALE",91
2569,"MALE",117
17156,"MALE",34
1950,"MALE",80
5452,"MALE",108
17157,"MALE",108
2198,"MALE",29
17158,"MALE",50
17159,"MALE",35
17160,"FEMALE",68
17161,"FEMALE",70
17162,"MALE",98
17163,"MALE",120
337,"FEMALE",28
14627,"MALE",99
17164,"MALE",79
17165,"FEMALE",29
46166,"FEMALE",68
17166,"MALE",88
2143,"FEMALE",98
11364,"MALE",110
17167,"FEMALE",110
43934,"MALE",101
17168,"MALE",35
11365,"MALE",100
17169,"MALE",34
17170,"MALE",60
17171,"FEMALE",80
17172,"MALE",50
4136,"MALE",118
2384,"MALE",89
1497,"MALE",89
17173,"MALE",119
17174,"MALE",108
17175,"FEMALE",99
17176,"MALE",81
17177,"MALE",31
14110,"MALE",108
17178,"FEMALE",59
14628,"FEMALE",120
17179,"MALE",120
14111,"MALE",70
7885,"MALE",30
17180,"FEMALE",117
17181,"MALE",90
17182,"MALE",31
14629,"MALE",88
17183,"MALE",118
3810,"MALE",90
17184,"MALE",119
17185,"MALE",69
901,"MALE",60
11366,"FEMALE",118
17186,"MALE",68
17187,"FEMALE",99
14630,"MALE",78
17188,"MALE",28
17189,"MALE",34
17190,"MALE",118
8961,"MALE",121
17191,"MALE",32
9379,"MALE",119
14631,"MALE",118
17192,"MALE",88
45344,"MALE",120
17193,"MALE",118
9380,"MALE",120
17194,"MALE",108
13511,"MALE",100
17195,"MALE",80
17196,"FEMALE",32
17197,"MALE",78
4023,"MALE",111
9381,"MALE",59
11367,"MALE",49
17198,"FEMALE",89
17199,"MALE",101
17200,"MALE",34
946,"MALE",111
17201,"MALE",120
17202,"MALE",34
17203,"MALE",68
17204,"MALE",68
17205,"MALE",38
17206,"MALE",108
45345,"FEMALE",30
17207,"FEMALE",107
17208,"MALE",120
17209,"FEMALE",68
17210,"MALE",70
1037,"MALE",23
17211,"MALE",27
11368,"MALE",109
17212,"MALE",60
17213,"FEMALE",58
5544,"FEMALE",88
17214,"MALE",68
14632,"FEMALE",39
43935,"MALE",29
17215,"MALE",38
5354,"MALE",30
17216,"MALE",119
46167,"MALE",111
45346,"MALE",121
17217,"MALE",48
17218,"MALE",120
43936,"MALE",91
17219,"MALE",68
5562,"MALE",110
17220,"MALE",113
6379,"MALE",30
17221,"FEMALE",31
17222,"FEMALE",88
17223,"FEMALE",74
17224,"MALE",25
17225,"MALE",31
17226,"MALE",78
17227,"MALE",34
14112,"FEMALE",51
17228,"MALE",32
17229,"MALE",109
4129,"MALE",30
17230,"MALE",37
522,"MALE",32
1069,"MALE",97
17231,"MALE",119
17232,"MALE",40
43937,"MALE",109
2701,"MALE",119
17233,"MALE",118
17234,"MALE",101
17235,"MALE",108
17236,"MALE",29
17237,"MALE",35
17238,"MALE",110
17239,"FEMALE",98
17240,"MALE",110
1239,"MALE",100
8562,"MALE",41
16268,"MALE",99
5967,"MALE",69
17241,"MALE",119
17242,"MALE",90
9382,"MALE",98
1255,"FEMALE",96
17243,"MALE",32
17244,"FEMALE",87
17245,"MALE",32
17246,"MALE",89
17247,"MALE",90
11369,"MALE",110
17248,"MALE",119
17249,"MALE",118
17250,"MALE",118
17251,"MALE",33
11370,"MALE",121
17252,"MALE",99
9383,"MALE",119
17253,"MALE",89
17254,"MALE",78
17255,"MALE",35
17256,"MALE",68
17257,"MALE",31
260,"MALE",118
17258,"MALE",120
17259,"FEMALE",27
348,"MALE",101
14633,"MALE",118
8937,"MALE",59
11371,"MALE",81
6021,"MALE",120
43938,"MALE",109
14634,"MALE",27
6330,"MALE",59
17260,"MALE",33
17261,"MALE",30
13512,"MALE",120
17262,"FEMALE",118
17263,"MALE",32
17264,"MALE",89
43939,"FEMALE",119
17265,"FEMALE",120
17266,"MALE",77
5803,"FEMALE",31
17267,"MALE",120
8760,"MALE",38
4068,"MALE",81
17268,"MALE",49
17269,"FEMALE",113
17270,"MALE",31
17271,"MALE",80
17272,"MALE",29
17273,"MALE",68
14635,"MALE",108
17274,"MALE",118
17275,"MALE",32
17276,"MALE",68
17277,"FEMALE",119
17278,"MALE",120
13233,"MALE",110
17279,"MALE",110
17280,"MALE",119
2350,"FEMALE",60
957,"MALE",120
17281,"MALE",89
17282,"FEMALE",69
45347,"MALE",118
14636,"MALE",39
11372,"MALE",79
14637,"MALE",98
17283,"MALE",108
2738,"MALE",71
9384,"MALE",69
8691,"MALE",39
11373,"FEMALE",87
17284,"MALE",79
17285,"MALE",110
3281,"MALE",99
17286,"MALE",100
17287,"FEMALE",97
17288,"MALE",100
16269,"MALE",118
17289,"FEMALE",97
17290,"FEMALE",58
8618,"MALE",69
14638,"FEMALE",68
17291,"MALE",27
46168,"MALE",117
5953,"MALE",100
17292,"MALE",88
17293,"FEMALE",89
17294,"MALE",110
103,"MALE",76
14639,"MALE",39
17295,"FEMALE",118
17296,"FEMALE",118
17297,"MALE",109
17298,"MALE",33
17299,"MALE",100
17300,"FEMALE",110
3834,"MALE",110
17301,"FEMALE",108
17302,"MALE",108
17303,"MALE",120
17304,"MALE",120
17305,"MALE",121
17306,"MALE",109
6352,"FEMALE",100
17307,"FEMALE",98
6700,"FEMALE",79
3751,"MALE",119
13234,"MALE",119
17308,"MALE",111
14640,"MALE",59
17309,"MALE",98
4124,"FEMALE",60
17310,"FEMALE",70
17311,"MALE",118
17312,"MALE",80
13513,"MALE",88
17313,"MALE",109
3466,"MALE",70
17314,"MALE",119
9385,"MALE",79
17315,"MALE",34
17316,"MALE",99
17317,"FEMALE",90
17318,"MALE",34
226,"MALE",29
17319,"MALE",27
16270,"MALE",100
11374,"FEMALE",113
17320,"MALE",118
9077,"FEMALE",110
17321,"MALE",89
17322,"MALE",58
46169,"MALE",60
5856,"MALE",118
5464,"MALE",90
17323,"MALE",100
17324,"FEMALE",119
17325,"FEMALE",59
17326,"MALE",34
17327,"MALE",69
8798,"MALE",98
9386,"MALE",39
17328,"FEMALE",32
4441,"MALE",70
4959,"MALE",109
5178,"FEMALE",50
14641,"MALE",39
8087,"MALE",101
3225,"MALE",28
14642,"MALE",59
17329,"MALE",28
8069,"MALE",39
11375,"MALE",120
17330,"MALE",98
17331,"FEMALE",30
17332,"MALE",53
17333,NA,78
17334,"MALE",120
4755,"MALE",31
11376,"MALE",110
17335,"FEMALE",97
13514,"MALE",98
17336,"MALE",120
17337,"MALE",98
17338,"FEMALE",81
17339,"MALE",34
17340,"MALE",68
7930,"MALE",90
14643,"MALE",61
17341,"MALE",28
17342,"FEMALE",49
45348,"MALE",111
17343,"MALE",119
1285,"MALE",100
17344,"FEMALE",28
17345,"MALE",119
17346,"MALE",108
13515,"MALE",109
45,"MALE",108
17347,"MALE",120
17348,"MALE",23
17349,"FEMALE",119
17350,"MALE",68
17351,"FEMALE",108
5788,"MALE",119
17352,"MALE",72
17353,"MALE",119
17354,"MALE",100
46170,"MALE",117
1365,"FEMALE",108
6223,"MALE",118
9047,"MALE",27
17355,"FEMALE",48
14644,"MALE",78
